[0, -126, -126, 30, 0, 0, 0, 0, 126, 126, -62, 0, 126, 0, -126, 126, 0, 0, 126, 0, 126, 0, -126, -62, -126, -126, 0, -126, 0, -126, 126, -112, 126, -126, 0, 0, 126, 0, -126, -126, -126, -126, 0, 62, 0, 0, 126, 64, 126, 126, -126, 0, -126, -126, 0, -64, -126, 0, 0, 14, 0, 126, -126, 126]
[90, 98, -48, 22, 0, 38, 22, 112, 56, -78, -30, 88, 72, -126, -126, 66, -126, -30, 14, -96, 64, -112, -64, -6, -88, 0, 24, -46, -32, 6, 96, -30, -120, 62, 78, -38, 120, -30, 40, -6, -96, 38, 56, -94, -14, 112, -88, -40, -56, 14, -56, 46, -126, 64, -64, -46, -6, -64, -14, -88, 48, 110, 6, -126]
[-126, 0, 62, 70, -126, 78, -96, -60, 126, -62, 64, 48, 0, -126, -26, -114, 126, -126, -126, -102, 126, -88, 60, 14, -126, 126, 0, -70, 0, 0, 64, 32, 126, 0, 64, -96, 0, 64, 62, 96, -126, 0, 0, -102, 126, -126, -62, -80, -126, 0, 0, -14, 126, -126, 30, -78, -126, 62, 0, 30, -126, 0, -32, 94]
[-126, 64, -96, -50, 126, 0, 0, 44, 126, -126, 0, -24, -126, -126, 40, -102, 126, -96, 126, 102, -126, -6, -60, -64, -126, 30, 126, 0, 126, 0, 0, 0, 0, 0, -6, -30, -126, 126, 126, -78, 126, 126, 0, -14, -126, 126, 62, -64, 0, 0, 0, -64, 0, -126, -6, 16, 0, 88, 126, -64, -126, 64, 2, -64]
[0, -126, -64, -108, 0, 62, 62, 96, 126, 0, 126, -64, 0, 0, 80, 0, -126, 0, 126, 12, 126, -64, -126, -30, -126, -126, -126, 0, -126, 0, 0, 88, 0, 126, 0, 22, -126, 126, 0, 126, -126, 0, -126, -14, 0, 126, 0, -78, 126, 0, -126, -96, 0, 0, 0, 16, -126, 0, 0, -70, 0, 0, -126, 0]
[0, 0, -96, -82, 126, -64, -64, 34, 0, 126, 64, 14, -126, -62, 86, 0, -126, -126, 0, 14, -126, 62, 96, -16, 126, 0, 0, -126, 126, 0, 0, 64, -126, 0, -64, -24, 0, 0, 0, -62, -126, 126, -126, 16, -126, 0, -30, -78, 126, 0, 0, -62, -126, -64, 64, 46, -64, 96, -64, -78, -126, 0, -126, 64]
[-30, -56, 62, -8, -96, 120, 70, 116, 120, -100, -72, -86, -70, 72, 64, 2, 120, 56, -2, 96, 6, -6, -24, -38, -120, 94, 0, 78, 6, -122, -62, -112, 6, 62, 110, 40, 58, 88, 70, 70, 120, 6, 104, 30, -126, 96, -62, -102, -126, -96, -6, 40, 126, 62, 112, -14, -112, -62, 120, 14, 0, 64, -110, 62]
[30, 38, 112, 6, 62, 88, 96, 2, 30, 104, -50, -126, -126, -98, -26, -122, 64, 50, -112, 40, -28, 102, 36, 82, 126, -120, 96, -76, -126, -102, 82, 118, -126, -126, -96, -24, -126, -64, -16, -64, -96, -62, 38, 64, 64, 72, 56, 62, -64, -102, 0, -6, 126, -30, -80, -64, -126, 62, -96, 64, 126, 96, -54, -102]
[82, 12, 34, 30, 12, 124, 96, 0, 64, 78, 66, 124, 46, 16, 2, 64, 78, 108, 120, 96, 102, 0, 106, 10, 76, 30, 96, 88, 70, 48, 26, 82, 34, 12, 90, 46, 108, 104, 124, 16, 124, 82, 60, 118, 30, 104, 72, 18, 126, 58, 8, 62, 44, 70, 112, 12, 76, 72, 82, 126, 82, 64, 126, 118]
[78, -78, 0, 96, -16, -62, -14, -30, -112, 112, 92, -40, 120, -56, 56, -112, 84, -48, 0, -48, 92, 0, 32, 0, -68, 64, -70, -12, 0, -48, 0, 102, 28, -102, 36, 76, -6, 0, -50, -2, -112, 56, -22, 48, 40, -8, -96, 78, 66, 28, -104, 0, -120, 0, -18, -108, 0, -62, 116, 112, 124, -14, 118, 8]
